"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"32" "Belmont Bruins" "32" 2000 2015 "16" "502" "317" "185" ".631" "-0.05" "-3.61" "0" "8" "6" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/belmont/"
"33" "Beloit Buccaneers" "33" 1911 1924 "8" "95" "66" "28" ".702" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/beloit/"
"34" "Bethune-Cookman Wildcats" "34" 1981 2015 "35" "1023" "360" "663" ".352" "-17.04" "-9.90" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/bethune-cookman/"
"35" "Binghamton Bearcats" "35" 2002 2015 "14" "417" "153" "264" ".367" "-10.57" "-5.44" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/binghamton/"
"36" "Birmingham-Southern Panthers" "36" 1920 2006 "5" "105" "65" "40" ".619" "-5.44" "-8.71" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/birmingham-southern/"
"37" "Bloomsburg Huskies" "37" 1896 1911 "15" "143" "88" "55" ".615" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/bloomsburg/"
"38" "Boise State Broncos" "38" 1972 2015 "44" "1277" "702" "575" ".550" "0.88" "-0.40" "0" "5" "5" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/boise-state/"
"39" "Boston College Eagles" "39" 1946 2015 "70" "1946" "1090" "856" ".560" "8.30" "6.49" "8" "8" "2" "18" "0" "0" "http://www.sports-reference.com/cbb/schools/boston-college/"
"40" "Boston University Terriers" "40" 1916 2015 "89" "1997" "1024" "973" ".513" "-3.23" "-4.55" "0" "8" "6" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/boston-university/"
"41" "Bowling Green State Falcons" "41" 1916 2015 "100" "2432" "1316" "1116" ".541" "-0.30" "-0.15" "2" "9" "0" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/bowling-green-state/"
"42" "Bradley Braves" "42" 1903 2015 "111" "2734" "1610" "1124" ".589" "3.43" "2.49" "12" "8" "2" "8" "2" "0" "http://www.sports-reference.com/cbb/schools/bradley/"
"43" "Brigham Young Cougars" "44" 1903 2015 "113" "2780" "1734" "1046" ".624" "9.32" "4.32" "10" "25" "3" "28" "0" "0" "http://www.sports-reference.com/cbb/schools/brigham-young/"
"44" "Brooklyn Bulldogs" "45" 1934 1992 "25" "567" "233" "334" ".411" "-19.22" "-9.63" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/brooklyn/"
"45" "Brown Bears" "46" 1901 2015 "109" "2453" "992" "1461" ".404" "-10.25" "-5.12" "0" "1" "0" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/brown/"
"46" "Bryant Bulldogs" "47" 2011 2015 "5" "150" "61" "89" ".407" "-8.68" "-4.24" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/bryant/"
"47" "Bucknell Bison" "48" 1896 2015 "120" "2538" "1357" "1181" ".535" "-4.62" "-6.24" "0" "12" "6" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/bucknell/"
"48" "Buffalo Bulls" "49" 1907 2015 "46" "1059" "511" "548" ".483" "-5.09" "-2.43" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/buffalo/"
"49" "Butler Bulldogs" "50" 1897 2015 "117" "2600" "1509" "1091" ".580" "3.81" "1.40" "5" "13" "7" "12" "2" "0" "http://www.sports-reference.com/cbb/schools/butler/"
