"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"133" "Fordham Rams" "137" 1903 2015 "111" "2772" "1465" "1307" ".528" "-3.58" "0.20" "1" "4" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/fordham/"
"134" "Franklin Grizzlies" "138" 1907 1925 "18" "221" "144" "77" ".652" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/franklin/"
"135" "Fresno State Bulldogs" "139" 1956 2015 "48" "1432" "794" "638" ".554" "4.24" "2.60" "1" "6" "4" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/fresno-state/"
"136" "Furman Paladins" "140" 1920 2015 "94" "2347" "1148" "1199" ".489" "-7.18" "-3.78" "0" "5" "6" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/furman/"
"137" "Gardner-Webb Runnin' Bulldogs" "141" 2003 2015 "13" "398" "174" "224" ".437" "-9.08" "-4.69" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/gardner-webb/"
"138" "Geneva Golden Tornadoes" "142" 1893 1943 "10" "125" "80" "45" ".640" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/geneva/"
"139" "George Mason Patriots" "143" 1979 2015 "37" "1100" "598" "502" ".544" "-1.06" "-1.69" "0" "4" "4" "6" "1" "0" "http://www.sports-reference.com/cbb/schools/george-mason/"
"140" "George Washington Colonials" "144" 1913 2015 "98" "2353" "1272" "1081" ".541" "3.19" "2.26" "3" "7" "5" "11" "0" "0" "http://www.sports-reference.com/cbb/schools/george-washington/"
"141" "Georgetown Hoyas" "145" 1907 2015 "107" "2590" "1605" "985" ".620" "14.40" "7.35" "19" "11" "7" "29" "5" "1" "http://www.sports-reference.com/cbb/schools/georgetown/"
"142" "Georgia Bulldogs" "146" 1906 2015 "110" "2596" "1351" "1245" ".520" "10.43" "7.75" "5" "3" "3" "11" "1" "0" "http://www.sports-reference.com/cbb/schools/georgia/"
"143" "Georgia Southern Eagles" "147" 1972 2015 "44" "1263" "637" "626" ".504" "-7.12" "-5.28" "0" "7" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/georgia-southern/"
"144" "Georgia State Panthers" "148" 1974 2015 "42" "1207" "503" "704" ".417" "-7.33" "-4.23" "0" "5" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/georgia-state/"
"145" "Georgia Tech Yellow Jackets" "149" 1920 2015 "96" "2454" "1297" "1157" ".529" "10.58" "8.84" "8" "3" "4" "16" "2" "0" "http://www.sports-reference.com/cbb/schools/georgia-tech/"
"146" "Gettysburg Bullets" "150" 1901 1973 "41" "724" "385" "339" ".532" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/gettysburg/"
"147" "Gonzaga Bulldogs" "151" 1944 2015 "64" "1847" "1168" "679" ".632" "7.83" "1.24" "8" "19" "13" "17" "0" "0" "http://www.sports-reference.com/cbb/schools/gonzaga/"
"148" "Grambling Tigers" "152" 1978 2015 "38" "1062" "387" "675" ".364" "-18.10" "-9.35" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/grambling/"
"149" "Grand Canyon Antelopes" "153" 2014 2015 "2" "58" "31" "27" ".534" "-6.05" "-3.95" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/grand-canyon/"
"150" "Green Bay Phoenix" "154" 1982 2015 "34" "1015" "561" "454" ".553" "-0.04" "-0.99" "0" "4" "3" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/green-bay/"
"151" "Grinnell Pioneers" "155" 1901 1939 "38" "550" "280" "270" ".509" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/grinnell/"
"152" "Grove City Wolverines" "156" 1899 1925 "27" "383" "257" "126" ".671" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/grove-city/"
"153" "Hamline Pipers" "157" 1945 1948 "4" "102" "82" "20" ".804" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/hamline/"
"154" "Hampton Pirates" "158" 1996 2015 "20" "601" "314" "287" ".522" "-8.94" "-9.13" "0" "2" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/hampton/"
"155" "Hardin-Simmons Cowboys" "159" 1923 1990 "45" "1149" "481" "668" ".419" "-11.53" "-4.81" "0" "1" "0" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/hardin-simmons/"
"156" "Hartford Hawks" "160" 1985 2015 "31" "904" "379" "525" ".419" "-8.93" "-5.37" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/hartford/"
"157" "Harvard Crimson" "161" 1901 2015 "104" "2356" "1081" "1275" ".459" "-7.77" "-5.76" "0" "4" "0" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/harvard/"
"158" "Haskell Indian Nations Institute Fighting Indians" "162" 1903 1908 "2" "39" "27" "12" ".692" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/haskell-indian-nations-institute/"
"159" "Hawaii Warriors" "163" 1971 2015 "45" "1308" "677" "631" ".518" "2.52" "2.59" "1" "2" "3" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/hawaii/"
"160" "High Point Panthers" "164" 2000 2015 "16" "478" "227" "251" ".475" "-9.75" "-6.50" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/high-point/"
"161" "Hiram Terriers" "165" 1894 1904 "8" "59" "45" "14" ".763" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/hiram/"
"162" "Hofstra Pride" "166" 1943 2015 "50" "1425" "714" "711" ".501" "-5.31" "-4.49" "0" "6" "5" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/hofstra/"
"163" "Holy Cross Crusaders" "167" 1901 2015 "95" "2270" "1351" "919" ".595" "-4.40" "-5.04" "6" "7" "6" "12" "2" "1" "http://www.sports-reference.com/cbb/schools/holy-cross/"
"164" "Hope Flying Dutchmen" "168" 1908 1913 "5" "65" "44" "21" ".677" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/hope/"
"165" "Houston Baptist Huskies" "169" 1974 2015 "21" "589" "250" "339" ".424" "-9.23" "-6.25" "0" "2" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/houston-baptist/"
"166" "Houston Cougars" "170" 1951 2015 "65" "1897" "1117" "780" ".589" "4.38" "3.16" "7" "5" "6" "19" "5" "0" "http://www.sports-reference.com/cbb/schools/houston/"
"167" "Howard Bison" "171" 1974 2015 "42" "1179" "465" "714" ".394" "-15.11" "-9.51" "0" "4" "3" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/howard/"
"168" "Idaho State Bengals" "172" 1959 2015 "57" "1562" "698" "864" ".447" "-7.16" "-1.98" "0" "4" "2" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/idaho-state/"
"169" "Idaho Vandals" "173" 1906 2015 "110" "2712" "1275" "1435" ".470" "-2.30" "-0.78" "1" "7" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/idaho/"
"170" "Illinois-Chicago Flames" "177" 1982 2015 "34" "1015" "493" "522" ".486" "-2.36" "-0.89" "0" "2" "2" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/illinois-chicago/"
"171" "Illinois Fighting Illini" "174" 1906 2015 "110" "2661" "1725" "936" ".648" "15.86" "8.74" "26" "17" "2" "30" "5" "0" "http://www.sports-reference.com/cbb/schools/illinois/"
"172" "Illinois State Redbirds" "175" 1899 2015 "56" "1402" "843" "559" ".601" "4.04" "2.18" "0" "5" "4" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/illinois-state/"
"173" "Illinois Wesleyan Titans" "176" 1928 1928 "1" "14" "13" "1" ".929" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/illinois-wesleyan/"
"174" "Incarnate Word Cardinals" "178" 2014 2015 "2" "50" "37" "13" ".740" "-6.31" "-8.32" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/incarnate-word/"
"175" "Indiana Hoosiers" "179" 1901 2015 "115" "2744" "1751" "993" ".638" "15.93" "9.43" "27" "21" "0" "37" "8" "5" "http://www.sports-reference.com/cbb/schools/indiana/"
"176" "Indiana State Sycamores" "180" 1900 2015 "93" "2041" "1061" "980" ".520" "-0.78" "2.42" "1" "2" "3" "4" "1" "0" "http://www.sports-reference.com/cbb/schools/indiana-state/"
"177" "Iona Gaels" "181" 1954 2015 "62" "1678" "938" "740" ".559" "-0.54" "-2.47" "1" "9" "7" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/iona/"
"178" "Iowa Hawkeyes" "182" 1893 2015 "118" "2684" "1569" "1114" ".585" "13.38" "8.12" "17" "8" "2" "23" "3" "0" "http://www.sports-reference.com/cbb/schools/iowa/"
"179" "Iowa State Cyclones" "183" 1908 2015 "108" "2553" "1286" "1267" ".504" "9.40" "7.20" "6" "6" "3" "16" "1" "0" "http://www.sports-reference.com/cbb/schools/iowa-state/"
"180" "IPFW Mastodons" "184" 2003 2015 "13" "391" "167" "224" ".427" "-7.37" "-2.12" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/ipfw/"
"181" "IUPUI Jaguars" "185" 1999 2015 "17" "524" "256" "268" ".489" "-4.31" "-2.56" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/iupui/"
"182" "Jackson State Tigers" "186" 1978 2015 "38" "1127" "533" "594" ".473" "-11.13" "-8.54" "0" "7" "4" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/jackson-state/"
"183" "Jacksonville Dolphins" "187" 1967 2015 "49" "1397" "689" "708" ".493" "-5.00" "-1.92" "2" "3" "2" "5" "1" "0" "http://www.sports-reference.com/cbb/schools/jacksonville/"
"184" "Jacksonville State Gamecocks" "188" 1996 2015 "20" "575" "233" "342" ".405" "-10.68" "-6.81" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/jacksonville-state/"
"185" "James Madison Dukes" "189" 1977 2015 "39" "1152" "599" "553" ".520" "-1.93" "-1.83" "0" "6" "3" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/james-madison/"
"186" "John Carroll Blue Streaks" "190" 1948 1955 "8" "191" "80" "111" ".419" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/john-carroll/"
"187" "Kalamazoo Hornets" "191" 1908 1923 "16" "193" "134" "59" ".694" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/kalamazoo/"
"188" "Kansas Jayhawks" "192" 1899 2015 "117" "2975" "2148" "827" ".722" "19.31" "8.59" "39" "57" "13" "43" "14" "3" "http://www.sports-reference.com/cbb/schools/kansas/"
"189" "Kansas State Wildcats" "193" 1906 2015 "110" "2668" "1567" "1101" ".587" "9.75" "7.41" "15" "18" "2" "28" "4" "0" "http://www.sports-reference.com/cbb/schools/kansas-state/"
"190" "Kennesaw State Owls" "194" 2010 2015 "6" "185" "43" "142" ".232" "-14.30" "-3.46" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/kennesaw-state/"
"191" "Kent State Golden Flashes" "195" 1914 2015 "96" "2260" "1100" "1160" ".487" "1.35" "0.01" "0" "8" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/kent-state/"
"192" "Kentucky Wesleyan Panthers" "196" 1957 1958 "2" "52" "30" "22" ".577" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/kentucky-wesleyan/"
"193" "Kentucky Wildcats" "197" 1903 2015 "112" "2843" "2169" "673" ".763" "19.05" "9.06" "47" "52" "29" "54" "16" "8" "http://www.sports-reference.com/cbb/schools/kentucky/"
"194" "La Salle Explorers" "198" 1932 2015 "84" "2234" "1324" "910" ".593" "1.99" "1.19" "6" "9" "8" "12" "2" "1" "http://www.sports-reference.com/cbb/schools/la-salle/"
"195" "Lafayette Leopards" "199" 1901 2015 "105" "2475" "1293" "1182" ".522" "-8.57" "-5.91" "0" "17" "2" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/lafayette/"
"196" "Lake Forest Foresters" "200" 1905 1916 "12" "144" "89" "55" ".618" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/lake-forest/"
"197" "Lamar Cardinals" "201" 1970 2015 "46" "1320" "675" "645" ".511" "-3.42" "-3.07" "0" "9" "4" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/lamar/"
"198" "Lawrence Vikings" "203" 1948 1948 "1" "28" "22" "6" ".786" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/lawrence/"
"199" "Lehigh Mountain Hawks" "204" 1902 2015 "114" "2392" "1033" "1359" ".432" "-9.73" "-6.71" "0" "4" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/lehigh/"
"200" "Lewis University Flyers" "205" 1905 1905 "1" "25" "20" "5" ".800" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/lewis-university/"
"201" "Liberty Flames" "206" 1989 2015 "27" "812" "367" "445" ".452" "-11.25" "-7.23" "0" "2" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/liberty/"
"202" "Lipscomb Bisons" "207" 2004 2015 "12" "359" "180" "179" ".501" "-6.70" "-4.74" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/lipscomb/"
"203" "Long Beach State 49ers" "208" 1970 2015 "46" "1354" "747" "607" ".552" "-0.33" "1.47" "5" "14" "5" "9" "0" "0" "http://www.sports-reference.com/cbb/schools/long-beach-state/"
"204" "Long Island University Blackbirds" "209" 1929 2015 "70" "1854" "1042" "810" ".563" "-11.02" "-7.41" "1" "9" "5" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/long-island-university/"
"205" "Longwood Lancers" "210" 2008 2015 "8" "249" "84" "165" ".337" "-16.95" "-5.07" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/longwood/"
"206" "Louisiana-Lafayette Ragin' Cajuns" "213" 1972 2015 "44" "1250" "719" "531" ".575" "0.51" "-0.78" "2" "9" "7" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/louisiana-lafayette/"
"207" "Louisiana-Monroe Warhawks" "214" 1974 2015 "42" "1212" "643" "569" ".531" "-5.52" "-4.27" "0" "10" "8" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/louisiana-monroe/"
"208" "Louisiana State Fighting Tigers" "211" 1909 2015 "107" "2610" "1484" "1126" ".569" "10.17" "6.88" "12" "11" "1" "20" "4" "0" "http://www.sports-reference.com/cbb/schools/louisiana-state/"
"209" "Louisiana Tech Bulldogs" "212" 1974 2015 "42" "1240" "706" "534" ".569" "0.85" "-0.73" "1" "9" "6" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/louisiana-tech/"
"210" "Louisville Cardinals" "215" 1912 2015 "101" "2630" "1749" "881" ".665" "15.45" "7.83" "31" "23" "17" "40" "10" "3" "http://www.sports-reference.com/cbb/schools/louisville/"
"211" "Loyola (IL) Ramblers" "216" 1921 2015 "94" "2341" "1230" "1111" ".525" "-1.93" "0.36" "5" "6" "1" "5" "1" "1" "http://www.sports-reference.com/cbb/schools/loyola-il/"
"212" "Loyola (LA) Wolfpack" "217" 1952 1972 "20" "499" "237" "262" ".475" "" "" "0" "0" "0" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/loyola-la/"
"213" "Loyola (MD) Greyhounds" "218" 1908 2015 "71" "1607" "747" "860" ".465" "-8.94" "-4.66" "0" "0" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/loyola-md/"
"214" "Loyola Marymount Lions" "219" 1943 2015 "68" "1860" "805" "1055" ".433" "-3.35" "1.18" "2" "3" "2" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/loyola-marymount/"
"215" "Macalester Scots" "220" 1896 1899 "4" "21" "8" "13" ".381" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/macalester/"
"216" "Maine Black Bears" "221" 1904 2015 "71" "1671" "773" "898" ".463" "-8.77" "-5.72" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/maine/"
"217" "Manchester Spartans" "222" 1926 1926 "1" "16" "15" "1" ".938" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/manchester/"
"218" "Manhattan Jaspers" "223" 1905 2015 "109" "2481" "1312" "1169" ".529" "-4.58" "-3.38" "0" "13" "4" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/manhattan/"
"219" "Marietta Pioneers" "224" 1908 1920 "13" "175" "109" "66" ".623" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/marietta/"
"220" "Marist Red Foxes" "225" 1982 2015 "34" "996" "460" "536" ".462" "-6.84" "-5.65" "0" "5" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/marist/"
"221" "Marquette Golden Eagles" "226" 1917 2015 "98" "2500" "1547" "953" ".619" "10.41" "5.28" "22" "5" "1" "31" "3" "1" "http://www.sports-reference.com/cbb/schools/marquette/"
"222" "Marshall Thundering Herd" "227" 1919 2015 "91" "2315" "1320" "993" ".571" "-0.54" "-1.03" "1" "6" "3" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/marshall/"
"223" "Maryland-Baltimore County Retrievers" "229" 1987 2015 "29" "836" "314" "522" ".376" "-12.03" "-6.78" "0" "2" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/maryland-baltimore-county/"
"224" "Maryland-Eastern Shore Hawks" "230" 1974 2015 "36" "1021" "294" "727" ".288" "-20.25" "-9.72" "0" "1" "1" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/maryland-eastern-shore/"
"225" "Maryland Terrapins" "228" 1924 2015 "92" "2455" "1464" "991" ".596" "13.98" "8.20" "21" "6" "4" "24" "2" "1" "http://www.sports-reference.com/cbb/schools/maryland/"
"226" "Massachusetts-Lowell River Hawks" "233" 1906 2015 "3" "73" "38" "35" ".521" "-12.23" "-4.34" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/massachusetts-lowell/"
"227" "Massachusetts Institute of Technology Engineers" "231" 1909 1909 "1" "16" "10" "6" ".625" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/massachusetts-institute-of-technology/"
"228" "Massachusetts Minutemen" "232" 1926 2015 "56" "1597" "891" "706" ".558" "3.07" "3.16" "5" "15" "5" "9" "1" "0" "http://www.sports-reference.com/cbb/schools/massachusetts/"
"229" "McNeese State Cowboys" "234" 1974 2015 "42" "1202" "590" "612" ".491" "-6.95" "-4.11" "0" "6" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/mcneese-state/"
"230" "Memphis Tigers" "235" 1956 2015 "60" "1803" "1215" "588" ".674" "12.04" "5.26" "16" "19" "11" "25" "3" "0" "http://www.sports-reference.com/cbb/schools/memphis/"
"231" "Mercer Bears" "236" 1974 2015 "42" "1217" "579" "638" ".476" "-8.81" "-5.35" "0" "3" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/mercer/"
"232" "Merchant Marine Academy Mariners" "237" 1946 1947 "2" "39" "13" "26" ".333" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/merchant-marine-academy/"
"233" "Miami (FL) Hurricanes" "238" 1949 2015 "52" "1469" "832" "637" ".566" "6.66" "5.33" "5" "2" "1" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/miami-fl/"
"234" "Miami (OH) RedHawks" "239" 1906 2015 "110" "2447" "1321" "1126" ".540" "2.65" "1.31" "1" "18" "4" "17" "0" "0" "http://www.sports-reference.com/cbb/schools/miami-oh/"
"235" "Michigan State Spartans" "240" 1899 2015 "116" "2652" "1597" "1055" ".602" "14.73" "8.84" "20" "13" "4" "28" "8" "2" "http://www.sports-reference.com/cbb/schools/michigan-state/"
"236" "Michigan Wolverines" "241" 1918 2015 "98" "2497" "1501" "996" ".601" "12.99" "9.10" "19" "14" "1" "25" "7" "1" "http://www.sports-reference.com/cbb/schools/michigan/"
"237" "Middle Tennessee Blue Raiders" "242" 1959 2015 "57" "1593" "871" "722" ".547" "-2.32" "-2.99" "0" "9" "5" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/middle-tennessee/"
"238" "Millikin Big Blue" "243" 1910 1921 "12" "210" "150" "60" ".714" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/millikin/"
"239" "Millsaps Majors" "244" 1911 1921 "11" "116" "59" "57" ".509" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/millsaps/"
"240" "Milwaukee Panthers" "245" 1974 2015 "32" "929" "463" "466" ".498" "-2.17" "-0.74" "0" "5" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/milwaukee/"
"241" "Minnesota A&M Aggies" "246" 1896 1903 "4" "30" "27" "3" ".900" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/minnesota-am/"
"242" "Minnesota Golden Gophers" "247" 1896 2015 "120" "2734" "1581" "1151" ".579" "11.28" "8.24" "10" "9" "0" "12" "1" "0" "http://www.sports-reference.com/cbb/schools/minnesota/"
"243" "Mississippi Rebels" "248" 1909 2015 "105" "2490" "1237" "1251" ".497" "7.50" "6.62" "2" "5" "2" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/mississippi/"
"244" "Mississippi State Bulldogs" "249" 1909 2015 "103" "2483" "1345" "1138" ".542" "7.80" "6.68" "11" "12" "5" "10" "1" "0" "http://www.sports-reference.com/cbb/schools/mississippi-state/"
"245" "Mississippi Valley State Delta Devils" "250" 1980 2015 "36" "1043" "449" "594" ".430" "-13.05" "-9.12" "0" "7" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/mississippi-valley-state/"
"246" "Missouri-Kansas City Kangaroos" "253" 1990 2015 "26" "756" "321" "435" ".425" "-6.93" "-3.45" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/missouri-kansas-city/"
"247" "Missouri State Bears" "251" 1983 2015 "33" "1030" "623" "407" ".605" "4.81" "1.32" "0" "5" "3" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/missouri-state/"
"248" "Missouri Tigers" "252" 1907 2015 "109" "2673" "1585" "1088" ".593" "12.61" "7.43" "14" "15" "8" "26" "0" "0" "http://www.sports-reference.com/cbb/schools/missouri/"
"249" "Monmouth Hawks" "254" 1984 2015 "32" "938" "430" "508" ".458" "-8.81" "-6.63" "0" "2" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/monmouth/"
"250" "Montana Grizzlies" "255" 1912 2015 "100" "2495" "1344" "1151" ".539" "0.26" "-2.39" "0" "10" "9" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/montana/"
"251" "Montana State Bobcats" "256" 1902 2015 "104" "2488" "1369" "1119" ".550" "-3.67" "-2.70" "0" "10" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/montana-state/"
"252" "Morehead State Eagles" "257" 1956 2015 "60" "1637" "820" "817" ".501" "-7.54" "-4.01" "0" "9" "4" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/morehead-state/"
"253" "Morgan State Bears" "258" 1985 2015 "31" "908" "332" "576" ".366" "-15.72" "-8.83" "0" "3" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/morgan-state/"
"254" "Morris Brown Wolverines" "259" 2002 2003 "2" "57" "13" "44" ".228" "-25.82" "-6.03" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/morris-brown/"
"255" "Mount St. Mary's Mountaineers" "260" 1989 2015 "27" "789" "341" "448" ".432" "-9.22" "-6.39" "0" "1" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/mount-st-marys/"
"256" "Mount Union Purple Raiders" "261" 1896 1932 "37" "493" "314" "179" ".637" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/mount-union/"
"257" "Muhlenburg Mules" "262" 1901 1963 "56" "1064" "579" "484" ".545" "" "" "0" "3" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/muhlenburg/"
"258" "Murray State Breds" "263" 1954 2015 "62" "1751" "1105" "646" ".631" "0.94" "-3.86" "2" "24" "14" "15" "0" "0" "http://www.sports-reference.com/cbb/schools/murray-state/"
"259" "Muskingum Fighting Muskies" "264" 1905 1927 "3" "48" "44" "4" ".917" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/muskingum/"
"260" "Navy Midshipmen" "265" 1908 2015 "108" "2327" "1325" "1002" ".569" "-6.70" "-5.39" "1" "8" "6" "11" "0" "0" "http://www.sports-reference.com/cbb/schools/navy/"
"261" "Nebraska-Omaha Mavericks" "268" 2013 2015 "3" "89" "37" "52" ".416" "-7.98" "-3.79" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/nebraska-omaha/"
"262" "Nebraska Cornhuskers" "266" 1897 2015 "119" "2741" "1446" "1295" ".528" "7.97" "6.72" "2" "7" "1" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/nebraska/"
"263" "Nebraska Wesleyan Prairie Wolves" "267" 1906 1917 "12" "188" "134" "54" ".713" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/nebraska-wesleyan/"
"264" "Nevada-Las Vegas Rebels" "270" 1970 2015 "46" "1442" "1031" "411" ".715" "11.02" "4.21" "16" "14" "11" "20" "4" "1" "http://www.sports-reference.com/cbb/schools/nevada-las-vegas/"
"265" "Nevada Wolf Pack" "269" 1913 2015 "60" "1547" "843" "704" ".545" "1.40" "1.22" "2" "9" "4" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/nevada/"
"266" "New Hampshire Wildcats" "271" 1927 2015 "63" "1590" "532" "1058" ".335" "-12.36" "-5.50" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/new-hampshire/"
"267" "New Mexico Lobos" "272" 1900 2015 "109" "2451" "1429" "1022" ".583" "7.82" "3.45" "11" "12" "6" "15" "0" "0" "http://www.sports-reference.com/cbb/schools/new-mexico/"
"268" "New Mexico State Aggies" "273" 1905 2015 "105" "2472" "1426" "1044" ".577" "4.03" "1.44" "5" "15" "8" "21" "1" "0" "http://www.sports-reference.com/cbb/schools/new-mexico-state/"
"269" "New Orleans Privateers" "274" 1976 2015 "38" "1100" "609" "491" ".554" "-1.40" "-1.48" "2" "8" "3" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/new-orleans/"
"270" "New York University Violets" "275" 1907 1971 "65" "1184" "725" "459" ".612" "" "" "2" "6" "0" "6" "2" "0" "http://www.sports-reference.com/cbb/schools/new-york-university/"
"271" "Newberry Wolves" "276" 1921 1921 "1" "4" "2" "2" ".500" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/newberry/"
"272" "Niagara Purple Eagles" "277" 1906 2015 "109" "2583" "1420" "1162" ".550" "-4.96" "-3.17" "2" "10" "2" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/niagara/"
"273" "Nicholls State Colonels" "278" 1981 2015 "35" "973" "384" "589" ".395" "-12.28" "-5.89" "0" "2" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/nicholls-state/"
"274" "NJIT Highlanders" "279" 2010 2015 "6" "178" "85" "93" ".478" "-11.61" "-7.83" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/njit/"
